#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The painting hangs on the gallery wall.	on (SUPPORT)	spatial	object + verb + on + surface	The painting	the gallery wall	spatial-attachment	support	Artwork mounted on vertical exhibition surface	SUPPORT schema; wall provides display surface	on/in contrast: gallery wall mounts art, not storage	when painting is locked inside a vault	module:01 type:recognition sense:spatial frequency:mid register:formal cefr:a2 image-schema:support generalisable:yes
I arrived <b>after</b> the movie started.	after (TEMPORAL POSTERIOR)	temporal	event + after + reference-time					Later in time than the reference event	AFTER marks later-than the landmark moment	✗ after vs ago: 'after' takes a reference event; 'ago' measures duration backward from now	when you mean only duration from now (use 'X ago')	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
She returned <b>after</b> three weeks.	after (TEMPORAL DURATION POST)	temporal	duration + after					Following a duration of time	AFTER can follow a duration to mean 'at the end of that time'	✗ after vs in: 'after 3 weeks' (from now/past reference); 'in 3 weeks' (future only)	in future contexts where English uses 'in'	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
This happened <b>ago</b> — five years <b>ago</b>.	ago (PAST DISTANCE)	temporal	duration + ago					Distance backward in time from present moment	AGO measures how far back in the past; always with duration	✗ ago vs before: 'ago' is duration from now; 'before' is relation to an event	when describing the event itself rather than its distance	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
Two weeks <b>ago</b>, I started my new job.	ago (PAST TEMPORAL ANCHOR)	temporal	past-duration-ago					Locates an event at a specific past distance	AGO anchors the entire event in past time	✗ ago vs before: before requires a reference event; ago requires duration	when the reference point is another event	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
We agreed to meet <b>before</b> noon.	before (TEMPORAL ANTERIOR EVENT)	temporal	event + before + reference-time					Earlier in time than a reference time or event	BEFORE marks prior to the landmark	✗ before vs ago: 'before' anchors on an event or clock time; 'ago' anchors on duration from now	when you only have duration from now	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
Please submit your report <b>before</b> Friday.	before (DEADLINE)	temporal	action + before + deadline					Action must occur earlier than the deadline	BEFORE sets an upper time limit	✗ before vs by: 'by' emphasizes the absolute limit; 'before' is more flexible	when you mean 'no later than' with strict finality	module:03 type:recognition sense:temporal frequency:high register:formal cefr:a2 image-schema:none generalisable:yes
The accident happened <b>before</b> I got there.	before (TEMPORAL SEQUENCE)	temporal	event1 + before + event2					One event occurs prior to another event	BEFORE sequences events in time	✗ before vs after: opposite directions in event sequence	when the second event comes first	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She works <b>from</b> Monday <b>to</b> Friday.	from-to (TEMPORAL SPAN)	temporal	from + start + to + end					Marks the beginning and end of a time period	FROM-TO defines a bounded interval	from-to vs during: 'from-to' is explicit boundaries; 'during' is within an event	when you want to emphasize the internal duration	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The office opens <b>from</b> 9am.	from (TEMPORAL START POINT)	temporal	action + from + start-time					Marks where a time period begins	FROM indicates the starting point	✗ from vs since: 'from' is neutral; 'since' implies continuous state	when expressing a point without continuous implication	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
<b>Throughout</b> the conference, she took notes.	throughout (PERVASIVE DURATION)	temporal	throughout + event-duration					An action continues during the entire span of an event	THROUGHOUT marks complete internal coverage	✗ throughout vs during: 'throughout' emphasizes the whole span; 'during' is neutral	when you only mean 'at some point during'	module:03 type:recognition sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
<b>Throughout</b> the year, we had monthly meetings.	throughout (RECURRING SPAN)	temporal	throughout + period					Repeated or continuous pattern across an entire period	THROUGHOUT can cover recurring events	✗ throughout vs during: overlaps, but 'throughout' stresses completeness	when mentioning only specific instances	module:03 type:recognition sense:temporal frequency:mid register:neutral cefr:b1 image-schema:none generalisable:yes
The shops are open <b>till</b> midnight.	till (TEMPORAL BOUNDARY INFORMAL)	temporal	action + till + end-point					Marks the end point of a time period (informal)	TILL is the informal variant of UNTIL	✗ till vs until: 'till' is conversational; 'until' is formal	in formal written contexts (use 'until')	module:03 type:recognition sense:temporal frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
We waited <b>until</b> the rain stopped.	until (TEMPORAL BOUNDARY FORMAL)	temporal	action + until + end-condition					Marks the end point of a time period (formal)	UNTIL is the formal variant of TILL	✗ until vs till: 'until' is standard; 'till' is colloquial	in very informal speech where formality isn't needed	module:03 type:recognition sense:temporal frequency:high register:formal cefr:a2 image-schema:none generalisable:yes
<b>While</b> she was sleeping, the phone rang.	while (TEMPORAL SIMULTANEITY SUBORDINATE)	temporal	action1 + while + action2					Two actions overlap in time; while is a subordinating conjunction	WHILE marks overlap of two concurrent actions	✗ while vs during: 'while' is subordinating conjunction; 'during' is preposition	when you need a preposition before a noun (use 'during')	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
I exercise <b>while</b> listening to music.	while (TEMPORAL SIMULTANEITY PARTICIPIAL)	temporal	action1 + while + action2					Two actions happen at the same time	WHILE can link main action with participial action	✗ while vs during: 'while' links two actions; 'during' shows containment	when emphasizing contained timing (use 'during')	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The contract runs <b>from</b> January <b>to</b> June.	from-to (BOUNDED INTERVAL)	temporal	from + start-time + to + end-time					Defines both start and end of a time span	FROM-TO creates a closed temporal bracket	from-to vs between: 'from-to' is standard for time; 'between' is less common	when marking non-continuous segments	module:03 type:recognition sense:temporal frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
<b>After</b> I finish work, let's meet.	after (TEMPORAL SEQUENCE CLAUSE)	temporal	after + event1 + event2					Introduces a subordinate clause for event sequence	AFTER can subordinate a clause to show sequence	✗ after vs before: opposite chronological order	when the sequence is reversed	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
I haven't seen him <b>ago</b> — not in months.	ago (PAST ABSENCE DISTANCE)	temporal	duration + ago					Measures time elapsed since a past event	AGO in negative contexts shows how long since something happened	✗ ago vs since: 'ago' is duration; 'since' is the point in time	when you know the starting point (use 'since')	module:03 type:recognition sense:temporal frequency:mid register:informal cefr:a2 image-schema:none generalisable:yes
<b>Till</b> next week, everything is on hold.	till (TEMPORAL BOUNDARY DURATION)	temporal	till + end-point					Marks a stopping point for a state or action	TILL marks when something ends	✗ till vs until: synonymous but 'till' is conversational	in academic or formal writing	module:03 type:recognition sense:temporal frequency:mid register:informal cefr:a2 image-schema:none generalisable:yes
There are chairs around the table.	around	polysemy	TR around LM			ground	cluster	prototype spatial use	encirclement; surrounding	Extension from CLUSTER prototype to perimeter encirclement	not "about the table" (too vague); not "surrounding" (less colloquial)	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:a2 image-schema:cluster generalisable:yes
I'll arrive around 3pm.	around	polysemy	TR around LM			temporal	cluster	extension to temporal approximation	approximate point in time	Extension from CLUSTER prototype (spatial vagueness) to TEMPORAL approximation	not "at 3pm" (exact); not "towards 3pm" (directional); not "by 3pm" (deadline)	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:a2 image-schema:cluster generalisable:yes
Is anyone around here?	around	polysemy	TR around LM			locational	cluster	extension to locational vagueness	in this general area; nearby	Extension from CLUSTER prototype (spatial encirclement) to LOCATIONAL vagueness and vicinity	not "in here" (inside specific); not "about here" (non-standard); not "near here" (more precise)	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:b1 image-schema:cluster generalisable:yes
She kept going around the topic.	around	polysemy	TR around LM			discourse	path	metaphor of indirect avoidance	avoiding direct engagement; circular reasoning	Metaphor of CIRCULAR-PATH (spatial movement) to AVOIDANCE and evasion	not "about the topic" (discussing directly); not "over the topic" (finished); not "on the topic"	module:11 type:recognition sense:polysemy frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes
The plane flew over the mountain.	over	polysemy	TR over LM			ground	over	prototype path motion	movement across or above a barrier	✗ Prototype OVER (spatial path with motion over obstacle)	not "above the mountain" (static); not "across the mountain" (horizontal); not "beyond the mountain" (endpoint)	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:a2 image-schema:over generalisable:yes
I worked over the weekend.	over	polysemy	TR over LM			temporal	path	extension to temporal duration	throughout; during a time period	✗ Extension from OVER (spatial path) to PATH-THROUGH-TIME and duration	not "for the weekend" (different aspect); not "during the weekend" (less emphasis on spanning); not "at the weekend"	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
The meeting is over.	over	polysemy	completion			temporal	path	metaphor of finished state	finished; concluded	Metaphor of PATH-COMPLETED: path motion becomes endpoint achievement	not "is finished" (loses preposition idiom); not "has ended" (different aspect); not "is done"	module:11 type:recognition sense:polysemy frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
She is over the moon.	over	polysemy	TR over LM			evaluative	over	metaphor of exceeding limits	extremely happy; beyond a normal emotional limit	✗ Metaphor of OVER as 'beyond a normal limit' (spatial excess to emotional excess)	not "under the moon" (opposite); not "beyond the moon" (different idiom); not "very happy" (loses idiom)	module:11 type:recognition sense:polysemy frequency:mid register:informal cefr:b1 image-schema:over generalisable:yes
The concert happens {{c1::on}} Saturday evening.	on (DATE-DAY)	temporal	on + day of week					Locating an event on a specific day of the week	day-of-week marker	in Saturday (incorrect — days take 'on')	when referring to a season or month (use 'in')	module:03 type:recognition sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
They arrived {{c1::ø::no preposition}} last Tuesday.	(zero preposition) (PAST-RELATIVE)	zero	V + last/next + period (no preposition)					Temporal location without preposition for relative-to-now reference	bare 'last Tuesday' requires no preposition	in last Tuesday (incorrect)	when using absolute dates (use 'in 2025' etc.)	module:12 type:recognition sense:zero frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She is {{c1::ø::no preposition}} school principal.	(zero preposition) (ROLE-ARTICLE-ZERO)	zero	be + role-title (no article)					Role title without article or preposition in formal contexts	bare role reference in professional context	with 'a' article (use 'a school principal')	when referring to specific person (use 'the principal')	module:12 type:recognition sense:zero frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
The decision was made <b>aside from</b> political pressure.	aside from (EXCEPTION-SOURCE)	phrasal	clause + aside from + excluded-source					Marking an exception or exclusion from consideration	excluding external factors	apart from (similar) / besides (informal)	when the source is central, not peripheral	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
The project succeeded <b>owing to</b> excellent team coordination.	owing to (CAUSATION-FORMAL)	phrasal	V + owing to + cause-N					Stating a formal or official cause; similar to 'because of' but more formal	formal attribution of causation	because of (less formal) / due to (similar formality)	when the cause is obvious or well-known	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
The proposal is <b>in line with</b> our strategic objectives.	in line with (ALIGNMENT)	phrasal	be + in line with + aligned-N					Indicating conformity or agreement with standards or goals	alignment with expectations	in agreement with (less idiomatic) / consistent with (less flexible)	when stating disagreement	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
He was absent <b>on account of</b> illness.	on account of (CAUSATION-STANDARD)	phrasal	be + on account of + cause-N					Standard formal reason for absence or status change	formal attribution of reason	because of (informal) / due to (similar)	when the cause is minor or incidental	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
The closure was decided <b>in view of</b> deteriorating conditions.	in view of (DECISION-CONTEXT)	phrasal	V + in view of + context-N					Making a decision based on observed circumstances; considering context	context-based decision-making	considering (more informal) / given (conversational)	when no external context applies	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
<b>With regard to</b> your inquiry, we will respond within five days.	with regard to (ABOUTNESS-FORMAL)	phrasal	V + with regard to + topic-N					Formal statement about what a comment or action concerns	formal topic specification	concerning (legal) / regarding (neutral)	when casually discussing a topic	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
<b>In respect of</b> the contract terms, both parties agree.	in respect of (LEGAL-ABOUTNESS)	phrasal	clause + in respect of + legal-N					Legal or formal acknowledgement of a particular aspect	legal-formal specification	regarding (neutral) / concerning (less specific)	when making informal comments	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:partial
Innovation thrives, <b>as opposed to</b> strict tradition.	as opposed to (CONTRAST-FORMAL)	phrasal	clause + as opposed to + contrasted-N					Formal contrast between two approaches or views	explicit opposition	unlike (less formal) / in contrast to (less emphatic)	when describing similarity	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
Promotion <b>by virtue of</b> merit is company policy.	by virtue of (REASON-INHERENT)	phrasal	N + by virtue of + inherent-cause					Reason stemming from the nature of something itself	inherent quality-based reason	because of (external reason) / due to (less inherent)	when the cause is external or circumstantial	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
<b>Contrary to</b> expectations, the experiment succeeded.	contrary to (NEGATION-EXPECTATION)	phrasal	clause + contrary to + expected-N					Stating something opposes or negates what was expected	negation of assumption	despite (less explicit) / against expectations (wordy)	when confirming expectations	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
The law applies <b>irrespective of</b> citizenship status.	irrespective of (UNIVERSALITY)	phrasal	V + irrespective of + exception-N					Universal application without regard for a condition	unconditional universality	regardless of (less formal) / without regard for (wordier)	when specifying a condition or limitation	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
Funding continues, <b>regardless of</b> political changes.	regardless of (INDIFFERENCE)	phrasal	V + regardless of + circumstance-N					Action or state unaffected by an external factor	indifference to circumstance	irrespective of (more formal) / despite (less precise)	when a condition directly influences the outcome	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b2 image-schema:none generalisable:yes
Payment in full is required; <b>in lieu of</b> deposit, we accept bonds.	in lieu of (SUBSTITUTION-FORMAL)	phrasal	N + in lieu of + substitute-N					Formal substitution or alternative fulfillment	formal alternative arrangement	instead of (less formal) / in place of (less legal)	when describing temporal sequence	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:partial
The meeting is scheduled <b>prior to</b> the conference.	prior to (SEQUENCE-FORMAL)	phrasal	be + prior to + later-event					Formal statement of temporal precedence	formal temporal ordering	before (neutral) / ahead of (less formal)	when describing approximate timing	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:yes
His resignation was submitted <b>after</b> the announcement.	subsequent to (SEQUENCE-FORMAL)	phrasal	N + subsequent to + prior-event					Formal statement that one event followed another	formal temporal ordering	after (neutral) / following (less formal)	when describing simultaneous or overlapping events	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
The judge ruled <b>despite</b> the defendant's appeal.	notwithstanding (NEGATION-LEGAL)	phrasal	V + notwithstanding + negated-factor					Legal negation: proceeding despite objection; negates a factor	archaic/legal negation	regardless of (modern) / despite (conversational)	when informally dismissing concerns	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
Details remain unclear; <b>until now</b>, no explanation has emerged.	until now (TEMPORAL)	phrasal	adverbial + hitherto + negation					Archaic/formal: up to the present moment	pre-modern formal register	✗ until now (modern) / so far (informal)	when describing future events	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no
<b>From now on</b>, all decisions require board approval.	henceforth (TEMPORAL-PROSPECTIVE)	phrasal	adverbial + henceforth + future-policy					Archaic/formal: from this point forward	prospective regulatory change	from now on (modern) / going forward (informal)	when referring to the past	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no
The agreement was voided; <b>thereafter</b>, disputes escalated.	thereafter (TEMPORAL-CONSEQUENCE)	phrasal	clause + thereafter + consequential-event					Archaic/formal: following that event in narrative	narrative temporal sequence	after that (modern) / subsequently (less archaic)	when describing simultaneous events	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no
His tenure ended in 2015; <b>heretofore</b> no successor was named.	heretofore (TEMPORAL-PASTARCHAIC)	phrasal	adverbial + heretofore + past-state					Archaic/formal: up to a stated point in the past	pre-modern temporal marking	until then (modern) / beforehand (less archaic)	when referring to future reference points	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no
The CEO, <b>relative to</b> the board, holds veto power.	vis-à-vis (RELATIVE-PERSPECTIVE)	phrasal	N + vis-à-vis + relational-N					Latin-origin: relative to or in comparison with; indicating relationship perspective	relational positioning	in relation to (modern) / compared to (less formal)	when describing absolute positioning	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:yes
She speaks French and German, <b>without</b> any accent.	sans (NEGATION-ARCHAIC-FRENCH)	phrasal	clause + sans + absent-element-N					French-origin archaic: without; highly formal literary register	archaic/poetic negation	without (standard) / lacking (less elevated)	when using standard English negation	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
The lawyer argued <b>as</b> legal counsel, not as a friend.	qua (ROLE-SPECIFICATION)	phrasal	V + qua + role-N					Latin: in the capacity of; designating a specific role or function	role/capacity specification	as (informal) / in the capacity of (wordy)	when no particular role distinction is intended	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
Results averaged 42 per capita, <b>according to</b> the census data.	per (RATE-STANDARD)	phrasal	N + per + denominator-N					Latin: for each; specifying rate or standardized measure	rate/standardized measurement	for every (wordy) / each (less formal)	when describing bulk quantity without division	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:yes
The contract was executed <b>in accordance with</b> the court order.	pursuant to (LEGAL-CONFORMITY)	phrasal	V + pursuant to + legal-N					Legal: in accordance with an authority or ruling	legal-conformity specification	in accordance with (less legalistic) / under (less formal)	when describing voluntary agreement	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
Policies are set <b>in conformity with</b> EU standards.	in conformity with (STANDARDS-FORMAL)	phrasal	be + in conformity with + standard-N					Formal/technical: strict adherence to rules or specifications	formal standards adherence	in compliance with (slightly less formal) / according to (neutral)	when describing flexible guidelines	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:yes
All proceedings occurred <b>in accordance with</b> protocol.	in accordance with (PROCEDURE-FORMAL)	phrasal	V + in accordance with + procedural-N					Formal/bureaucratic: following official procedures or rules	procedural rule-following	in line with (less formal) / according to (neutral)	when describing exceptions to procedure	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:c1 image-schema:none generalisable:yes
The fund operates <b>save for</b> emergency withdrawals.	save for (EXCEPTION-LEGAL)	phrasal	clause + save for + exception-N					Archaic/legal: except for; marking exclusion	legal exception marking	except for (modern) / with the exception of (wordy)	when no exceptions apply	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
Entry is forbidden <b>barring</b> written authorization.	barring (EXCEPTION-CONDITIONAL)	phrasal	clause + barring + excepting-condition					Exception that nullifies a rule only if condition is met	conditional exception	unless (more conditional) / except (less contingent)	when describing absolute prohibition	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:yes
She decided to <b>capitalise on</b> market opportunities.	capitalise on (verb+prep-B2)	dependent	V + capitalise on + opportune-N					Taking advantage of a favorable circumstance strategically	strategic advantage-taking	make use of (less strategic) / benefit from (less active)	when the opportunity is external to the agent's control	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b2 image-schema:none generalisable:no dependent:verb
They plan to <b>embark on</b> a major renovation project.	embark on (verb+prep-B2)	dependent	V + embark on + major-undertaking					Beginning a significant or ambitious undertaking	formal start of major enterprise	start (informal) / begin (neutral)	when beginning small routine tasks	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
He urged them to <b>refrain from</b> making hasty conclusions.	refrain from (verb+prep-B2)	dependent	V + refrain from + action-to-avoid					Consciously avoiding or refraining from an action	conscious avoidance	avoid (less formal) / desist from (archaic)	when unable to avoid something	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
The company must <b>comply with</b> environmental regulations.	comply with (verb+prep-B2)	dependent	V + comply with + requirement-N					Meeting or adhering to a requirement or standard	formal adherence to standards	obey (less formal) / follow (neutral)	when choosing to exceed standards	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
The budget surplus <b>accounts for</b> the improved forecast.	account for (verb+prep-B2)	dependent	N + account for + explanation					Explaining or providing reason for a result	explanatory causation	explain (less formal) / due to (less agentive)	when the cause is external	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
Experimental results <b>deviate from</b> the theoretical model.	deviate from (verb+prep-B2)	dependent	V + deviate from + expected-N					Diverging or departing from a standard or expectation	divergence marking	depart from (less technical) / differ from (less formal)	when following an established pattern	module:05 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
Many species eventually <b>succumb to</b> climate pressure.	succumb to (verb+prep-B2)	dependent	V + succumb to + overwhelming-force					Yielding or giving in under pressure or force	surrender to external pressure	surrender to (less organic) / give in to (less formal)	when resisting pressure	module:05 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
Policy <b>oscillates between</b> two competing priorities.	oscillate between (verb+prep-B2)	dependent	V + oscillate between + N + and + N					Repeatedly moving back and forth between alternatives	cyclic alternation	swing between (less technical) / alternate between (less rhythmic)	when stable positioning is intended	module:05 sense:dependent type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
Witnesses will <b>vouch for</b> the defendant's character.	vouch for (verb+prep-B2)	dependent	V + vouch for + endorsed-person					Personally guaranteeing or testifying to someone's reliability	personal endorsement/guarantee	support (less formal) / testify for (less personal)	when doubt is appropriate	module:05 sense:dependent type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:no dependent:verb
The document <b>alludes to</b> undisclosed negotiations.	allude to (verb+prep-B2)	dependent	V + allude to + implied-reference					Making an indirect or passing reference to something	oblique reference	refer to (more direct) / mention (less indirect)	when making explicit statements	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
Researchers <b>contend with</b> significant methodological limitations.	contend with (verb+prep-C1)	dependent	V + contend with + obstacle-N					Engaging with or managing a difficult challenge; academic usage	challenging engagement	struggle with (less formal) / deal with (less academic)	when obstacles are easily overcome	module:05 sense:dependent type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
Evidence <b>substantiates</b> the hypothesis, yet critics <b>gainsay</b> the findings.	gainsay (verb-C1)	dependent	V + gainsay + N-claim					Contradicting or denying a statement or claim	contradiction of assertion	deny (less formal) / dispute (less elevated)	when confirming a statement	module:05 sense:dependent type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
Scholars <b>ground</b> arguments <b>in</b> empirical evidence.	ground in (verb+prep-C1)	dependent	V + ground + N + in + foundation-N					Establishing a position solidly on a foundation	foundational basis	base on (less formal) / found in (less academic)	when arguments lack rigorous support	module:05 sense:dependent type:recognition frequency:high register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
The theory <b>subsumes</b> earlier models; we <b>subsume</b> <b>under</b> a new framework.	subsume under (verb+prep-C1)	dependent	V + subsume + N + under + larger-category					Including or treating something as part of a broader category	categorical inclusion	include in (less formal) / put in (less academic)	when maintaining separate categories	module:05 sense:dependent type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
Data <b>corroborate</b> the initial findings, though some <b>rebut</b> this claim.	rebut (verb-C1)	dependent	V + rebut + claim-N					Arguing against or refuting a statement with evidence	counterargument with evidence	argue against (less formal) / dispute (less academic)	when accepting a claim	module:05 sense:dependent type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
The legislation <b>proscribes</b> certain conduct; courts <b>proscribe</b> enforcement.	proscribe (verb-C1)	dependent	V + proscribe + prohibited-N					Officially forbidding or prohibiting something	formal prohibition	forbid (less formal) / ban (less legal)	when permitting an action	module:05 sense:dependent type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no dependent:verb
The findings are <b>synonymous with</b> methodological rigor.	synonymous with (adj+prep-B2)	dependent	Adj + synonymous with + equivalent-N					Having the same meaning or being equivalent	semantic equivalence	equivalent to (less precise) / the same as (informal)	when meanings differ subtly	module:06 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
These results are <b>indicative of</b> broader trends.	indicative of (adj+prep-B2)	dependent	Adj + indicative of + signified-N					Serving as a sign or indication of something	sign/indicator function	suggestive of (less formal) / showing (less academic)	when stating certain fact	module:06 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
Regular exercise is <b>conducive to</b> mental health.	conducive to (adj+prep-B2)	dependent	Adj + conducive to + favorable-outcome					Promoting or helping to create favorable conditions	promotion of favorable outcome	promoting (less formal) / helpful for (less academic)	when something hinders an outcome	module:06 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
The argument is <b>devoid of</b> logical foundation.	devoid of (adj+prep-B2)	dependent	Adj + devoid of + absent-quality					Completely lacking or empty of something	complete absence	lacking (less emphatic) / without (informal)	when something contains the quality	module:06 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
Smoking is <b>detrimental to</b> cardiovascular health.	detrimental to (adj+prep-B2)	dependent	Adj + detrimental to + negatively-affected-N					Causing harm or negative effects	harm causation	harmful to (less formal) / bad for (informal)	when something is beneficial	module:06 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
Management and labor remain <b>subordinate to</b> production goals.	subordinate to (adj+prep-B2)	dependent	Adj + subordinate to + superordinate-N					Lower in rank, importance, or authority than something else	hierarchical inferiority	lower than (less formal) / below (spatial)	when establishing equality	module:06 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
This software is <b>compatible with</b> older systems.	compatible with (adj+prep-B2)	dependent	Adj + compatible with + compatible-system					Able to work together without conflict	functional interoperability	works with (less formal) / suitable for (less technical)	when systems conflict	module:06 sense:dependent type:recognition frequency:high register:neutral cefr:b2 image-schema:none generalisable:no dependent:adjective
He remained <b>oblivious to</b> the growing criticism.	oblivious to (adj+prep-B2)	dependent	Adj + oblivious to + unaware-element					Unaware of or inattentive to something	lack of awareness	unaware of (less formal) / ignorant of (offensive)	when fully aware	module:06 sense:dependent type:recognition frequency:high register:neutral cefr:b2 image-schema:none generalisable:no dependent:adjective
The population remains <b>susceptible to</b> seasonal illness.	susceptible to (adj+prep-B2)	dependent	Adj + susceptible to + vulnerability-factor					Vulnerable or liable to be affected by something	vulnerability	vulnerable to (less formal) / prone to (less academic)	when resistant	module:06 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
