#separator:tab
#html:true
#columns:Sentence	OptionA	OptionB	Answer	Why	Tip	Tags
She arrived ___ the middle of the film.	in the	during the	in the	"In the middle of" is idiomatic for temporal position; "during the film" shows concurrent activity.	in the middle = temporal location within event	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She {{c1::insists on}} punctuality in her team.	insists on	requires	insists on	"Insists on" marks fixed demand for a habit/standard; "requires" is transitive bare and more formal.	insist ON (collocation)	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The software relies ___ cloud storage for backup.	on	in	on	"Relies on" shows dependency; "relies in" is not standard. Cloud systems = external infrastructure requiring preposition.	rely ON always	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The company ___ to adapt quickly in the market.	rises up	rises	rises	"Rises" alone is sufficient (transitive bare); "rises up" is redundant but sometimes heard.	rises alone is cleaner	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
She succeeded ___ of her natural talent.	because of	on account of	because of	Both are correct; "because of" is slightly more common in modern English. "On account of" is slightly more formal/archaic.	because of is modern preference	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
She depends ___ the weather.	on	to	on	Japanese 'tenki ni yoru' calques as 'depend to'. English: depend ON.	depend ON (not to)	module:10 sense:interference type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:japanese
He got married ___ her.	to	with	to	Japanese 'kekkon suru' calques as 'marry with'. English: marry TO.	marry TO (not with)	module:10 sense:interference type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:japanese
The artist is {{c1::known}} {{c1::as}} a visionary.	as	like	as	'Known as' marks identity/designation. 'Like' suggests appearance/resemblance only.	known AS (designation)	module:09 sense:idiomatic type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The situation looks {{c1::like}} chaos.	like	as	like	'Look like' marks appearance/resemblance. 'As' marks assigned role.	look LIKE (appearance)	module:09 sense:idiomatic type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She treats him {{c1::like}} a child.	like	as	like	'Like' marks appearance/behavioral likeness. 'As' marks assigned role/status.	like (resemblance/behavior)	module:09 sense:idiomatic type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The old car still serves {{c1::as}} our backup.	as	like	as	'Serves as' marks functional role/purpose. 'Like' suggests only resemblance.	serves AS (functional purpose)	module:09 sense:idiomatic type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
